device,predicate
K992890,K974840
K992887,K905524
K992887,K911582
K992886,K982976
K992886,K963807
K992886,K990248
K992882,K973684
K992882,K983831
K992880,K875276
K992879,K974906
K992876,K963783
K992876,K974022
K992875,K964375
K992873,K955640
K992872,K955713
K992872,K945154
K992872,K984162
K992872,K944515
K992869,K980148
K992868,K963548
K992865,K944182
K992864,K894722
K992863,K932103
K992863,K893957
K992863,K905674
K992862,K983645
K992859,K980130
K992859,K980135
K992859,K972673
K992858,K492858
K992855,K832520
K992855,K984363
K992855,K983025
K992855,K981922
K992853,K982235
K992853,K980955
K992853,K974362
K992853,K973695
K992853,K971951
K992853,K972567
K992853,K946126
K992853,K982156
K992853,K973317
K992851,K832189
K992851,K913861
K992851,K960749
K992844,K971284
K992843,K853627
K992843,K982244
K992843,K830332
K992843,K955397
K992842,K492359
K992839,K950885
K992839,K950886
K992839,K950984
K992839,K925443
K992839,K950887
K992839,K910685
K992839,K964909
K992839,K952481
K992839,K872112
K992838,K910860
K992838,K945604
K992834,K961335
K992834,K963800
K992833,K964445
K992832,K192383
K992831,K970010
K992828,K972563
K992823,K984031
K992822,K982394
K992821,K942042
K992821,K964964
K992821,K#942042
K992821,K#964964
K992818,K954345
K992816,K980290
K992816,K964688
K992816,K980653
K992816,K905720
K992816,K492016
K992816,K991929
K992816,K911581
K992815,K912593
K992815,K851422
K992815,K913231
K992815,K980020
K992815,K912713
K992815,K921181
K992815,K942115
K992815,K942027
K992811,K900480
K992811,K964770
K992811,K843385
K992811,K891595
K992811,K934959
K992807,K842543
K992807,K862690
K992807,K844992
K992805,K961747
K992805,K965007
K992805,K943450
K992805,K991218
K992805,K992408
K992805,K962321
K992804,K972564
K992804,K981837
K992803,K962890
K992803,K872295
K992802,K822083
K992802,K955235
K992801,K961114
K992801,K954839
K992800,K971477
K992800,K863196
K992798,K853357
K992798,K971485
K992797,K960746
K992797,K974151
K992797,K#974151
K992797,K#960746
K992794,K982795
K992794,K982196
K992794,K981556
K992794,K983732
K992793,K798193
K992793,K970674
K992792,K972792
K992791,K952129
K992790,K442790
K992790,K952130
K992788,K895541
K992788,K970839
K992788,K974176
K992787,K980197
K992786,K964539
K992786,K920186
K992785,K441165
